Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
146	-21	21	3839	146	-21	21	3839	146	-21	21	3839	146	-21	21	3839	146	-21	21	3839	146	-21	21	3839
147	-24	24	3863	147	-24	24	3863	147	-24	24	3863	147	-24	24	3863	147	-24	24	3863	147	-24	24	3863
148	-17	17	3880	148	-17	17	3880	148	-17	17	3880	148	-17	17	3880	148	-17	17	3880	148	-17	17	3880
149	-18	18	3898	149	-18	18	3898	149	-18	18	3898	149	-18	18	3898	149	-18	18	3898	149	-18	18	3898
150	-17	17	3915	150	-17	17	3915	150	-17	17	3915	150	-17	17	3915	150	-17	17	3915	150	-17	17	3915
151	-17	17	3932	151	-17	17	3932	151	-17	17	3932	151	-17	17	3932	151	-17	17	3932	151	-17	17	3932
152	-26	26	3958	152	-26	26	3958	152	-26	26	3958	152	-26	26	3958	152	-26	26	3958	152	-26	26	3958
153	-22	22	3980	153	-22	22	3980	153	-22	22	3980	153	-22	22	3980	153	-22	22	3980	153	-22	22	3980
154	-17	17	3997	154	-17	17	3997	154	-17	17	3997	154	-17	17	3997	154	-17	17	3997	154	-17	17	3997
155	-20	20	4017	155	-20	20	4017	155	-20	20	4017	155	-20	20	4017	155	-20	20	4017	155	-20	20	4017
156	-18	18	4035	156	-18	18	4035	156	-18	18	4035	156	-18	18	4035	156	-18	18	4035	156	-18	18	4035
157	-18	18	4053	157	-18	18	4053	157	-18	18	4053	157	-18	18	4053	157	-18	18	4053	157	-18	18	4053
158	-17	17	4070	158	-17	17	4070	158	-17	17	4070	158	-17	17	4070	158	-17	17	4070	158	-17	17	4070
159	-19	19	4089	159	-19	19	4089	159	-19	19	4089	159	-19	19	4089	159	-19	19	4089	159	-19	19	4089
160	-21	21	4110	160	-21	21	4110	160	-21	21	4110	160	-21	21	4110	160	-21	21	4110	160	-21	21	4110
161	-25	25	4135	161	-25	25	4135	161	-25	25	4135	161	-25	25	4135	161	-25	25	4135	161	-25	25	4135
162	-28	28	4163	162	-28	28	4163	162	-28	28	4163	162	-28	28	4163	162	-28	28	4163	162	-28	28	4163
163	-22	22	4185	163	-22	22	4185	163	-22	22	4185	163	-22	22	4185	163	-22	22	4185	163	-22	22	4185
164	-17	17	4202	164	-17	17	4202	164	-17	17	4202	164	-17	17	4202	164	-17	17	4202	164	-17	17	4202
165	-19	19	4221	165	-19	19	4221	165	-19	19	4221	165	-19	19	4221	165	-19	19	4221	165	-19	19	4221
166	-18	18	4239	166	-18	18	4239	166	-18	18	4239	166	-18	18	4239	166	-18	18	4239	166	-18	18	4239
167	-19	19	4258	167	-19	19	4258	167	-19	19	4258	167	-19	19	4258	167	-19	19	4258	167	-19	19	4258
168	-19	19	4277	168	-19	19	4277	168	-19	19	4277	168	-19	19	4277	168	-19	19	4277	168	-19	19	4277
169	-18	18	4295	169	-18	18	4295	169	-18	18	4295	169	-18	18	4295	169	-18	18	4295	169	-18	18	4295
170	-25	25	4320	170	-25	25	4320	170	-25	25	4320	170	-25	25	4320	170	-25	25	4320	170	-25	25	4320
171	-17	17	4337	171	-17	17	4337	171	-17	17	4337	171	-17	17	4337	171	-17	17	4337	171	-17	17	4337
172	-20	20	4357	172	-20	20	4357	172	-20	20	4357	172	-20	20	4357	172	-20	20	4357	172	-20	20	4357
