Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
187	-139.0	139	30388	187	-139.0	139	30388
188	-135.0	135	30523	188	-135.0	135	30523
189	-113.0	113	30636	189	-113.0	113	30636
190	-161.0	161	30797	190	-161.0	161	30797
191	-110.0	110	30907	191	-110.0	110	30907
192	-158.0	158	31065	192	-158.0	158	31065
193	-133.0	133	31198	193	-133.0	133	31198
194	-134.0	134	31332	194	-134.0	134	31332
195	-145.0	145	31477	195	-145.0	145	31477
196	-134.0	134	31611	196	-134.0	134	31611
197	-139.0	139	31750	197	-139.0	139	31750
198	-136.0	136	31886	198	-136.0	136	31886
199	-140.0	140	32026	199	-140.0	140	32026
200	-137.0	137	32163	200	-137.0	137	32163
201	-136.0	136	32299	201	-136.0	136	32299
202	-86.0	86	32385	202	-86.0	86	32385
203	-139.0	139	32524	203	-139.0	139	32524
204	-160.0	160	32684	204	-160.0	160	32684
205	-129.0	129	32813	205	-129.0	129	32813
206	-136.0	136	32949	206	-136.0	136	32949
207	-136.0	136	33085	207	-136.0	136	33085
208	-137.0	137	33222	208	-137.0	137	33222
209	-131.0	131	33353	209	-131.0	131	33353
210	-112.0	112	33465	210	-112.0	112	33465
211	-138.0	138	33603	211	-138.0	138	33603
212	-132.0	132	33735	212	-132.0	132	33735
213	-136.0	136	33871	213	-136.0	136	33871
214	-139.0	139	34010	214	-139.0	139	34010
215	-134.0	134	34144	215	-134.0	134	34144
216	-139.0	139	34283	216	-139.0	139	34283
217	-129.0	129	34412	217	-129.0	129	34412
218	-136.0	136	34548	218	-136.0	136	34548
219	-108.0	108	34656	219	-108.0	108	34656
220	-107.0	107	34763	220	-107.0	107	34763
221	-106.0	106	34869	221	-106.0	106	34869
222	-101.0	101	34970	222	-101.0	101	34970
223	-91.0	91	35061	223	-91.0	91	35061
224	-106.0	106	35167	224	-106.0	106	35167
225	-92.0	92	35259	225	-92.0	92	35259
226	-106.0	106	35365	226	-106.0	106	35365
227	-93.0	93	35458	227	-93.0	93	35458
228	-105.0	105	35563	228	-105.0	105	35563
229	-138.0	138	35701	229	-138.0	138	35701
230	-142.0	142	35843	230	-142.0	142	35843
231	-105.0	105	35948	231	-105.0	105	35948
232	-138.0	138	36086	232	-138.0	138	36086
233	-186.0	186	36272	233	-186.0	186	36272
234	-135.0	135	36407	234	-135.0	135	36407
235	-141.0	141	36548	235	-141.0	141	36548
236	-136.0	136	36684	236	-136.0	136	36684
237	-130.0	130	36814	237	-130.0	130	36814
238	-130.0	130	36944	238	-130.0	130	36944
239	-135.0	135	37079	239	-135.0	135	37079
240	-129.0	129	37208	240	-129.0	129	37208
241	-131.0	131	37339	241	-131.0	131	37339
242	-135.0	135	37474	242	-135.0	135	37474
243	-106.0	106	37580	243	-106.0	106	37580
244	-108.0	108	37688	244	-108.0	108	37688
245	-108.0	108	37796	245	-108.0	108	37796
246	-134.0	134	37930	246	-134.0	134	37930
247	-107.0	107	38037	247	-107.0	107	38037
248	-136.0	136	38173	248	-136.0	136	38173
249	-138.0	138	38311	249	-138.0	138	38311
250	-136.0	136	38447	250	-136.0	136	38447
251	-106.0	106	38553	251	-106.0	106	38553
252	-134.0	134	38687	252	-134.0	134	38687
253	-107.0	107	38794	253	-107.0	107	38794
254	-137.0	137	38931	254	-137.0	137	38931
255	-139.0	139	39070	255	-139.0	139	39070
256	-140.0	140	39210	256	-140.0	140	39210
257	-106.0	106	39316	257	-106.0	106	39316
258	-141.0	141	39457	258	-141.0	141	39457
259	-110.0	110	39567	259	-110.0	110	39567
260	-171.0	171	39738	260	-171.0	171	39738
261	-106.0	106	39844	261	-106.0	106	39844
262	-145.0	145	39989	262	-145.0	145	39989
263	-106.0	106	40095	263	-106.0	106	40095
264	-142.0	142	40237	264	-142.0	142	40237
265	-88.0	88	40325	265	-88.0	88	40325
266	-138.0	138	40463	266	-138.0	138	40463
267	-106.0	106	40569	267	-106.0	106	40569
268	-135.0	135	40704	268	-135.0	135	40704
269	-107.0	107	40811	269	-107.0	107	40811
270	-137.0	137	40948	270	-137.0	137	40948
271	-128.0	128	41076	271	-128.0	128	41076
272	-106.0	106	41182	272	-106.0	106	41182
273	-180.0	180	41362	273	-180.0	180	41362
274	-146.0	146	41508	274	-146.0	146	41508
275	-123.0	123	41631	275	-123.0	123	41631
276	-152.0	152	41783	276	-152.0	152	41783
277	-106.0	106	41889	277	-106.0	106	41889
278	-111.0	111	42000	278	-111.0	111	42000
279	-107.0	107	42107	279	-107.0	107	42107
280	-133.0	133	42240	280	-133.0	133	42240
281	-135.0	135	42375	281	-135.0	135	42375
282	-185.0	185	42560	282	-185.0	185	42560
283	-126.0	126	42686	283	-126.0	126	42686
284	-108.0	108	42794	284	-108.0	108	42794
285	-136.0	136	42930	285	-136.0	136	42930
286	-136.0	136	43066	286	-136.0	136	43066
287	-111.0	111	43177	287	-111.0	111	43177
288	-137.0	137	43314	288	-137.0	137	43314
289	-138.0	138	43452	289	-138.0	138	43452
290	-136.0	136	43588	290	-136.0	136	43588
291	-108.0	108	43696	291	-108.0	108	43696
292	-116.0	116	43812	292	-116.0	116	43812
293	-137.0	137	43949	293	-137.0	137	43949
294	-152.0	152	44101	294	-152.0	152	44101
295	-109.0	109	44210	295	-109.0	109	44210
296	-148.0	148	44358	296	-148.0	148	44358
297	-146.0	146	44504	297	-146.0	146	44504
298	-141.0	141	44645	298	-141.0	141	44645
299	-138.0	138	44783	299	-138.0	138	44783
