Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710	41	-13	13	710
42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725	42	-15	15	725
43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738	43	-13	13	738
44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751	44	-13	13	751
45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764	45	-13	13	764
46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777	46	-13	13	777
47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791	47	-14	14	791
48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808	48	-17	17	808
49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823	49	-15	15	823
50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836	50	-13	13	836
51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850	51	-113	14	850
52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871	52	-120	21	871
53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886	53	-15	15	886
54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904	54	-117	18	904
55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919	55	-15	15	919
56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934	56	-15	15	934
57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972	57	-236	38	972
58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987	58	-15	15	987
59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000	59	-13	13	1000
60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013	60	-13	13	1013
61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038	61	-124	25	1038
62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057	62	-118	19	1057
63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072
64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085	64	-13	13	1085
65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098	65	-13	13	1098
66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113	66	-15	15	1113
67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130	67	-17	17	1130
68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153	68	-122	23	1153
69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170	69	-17	17	1170
70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183	70	-13	13	1183
71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196	71	-13	13	1196
72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209	72	-13	13	1209
73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243	73	-232	34	1243
74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261	74	-18	18	1261
75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279	75	-117	18	1279
76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292	76	-13	13	1292
77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309	77	-17	17	1309
78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324	78	-15	15	1324
79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338	79	-14	14	1338
80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351	80	-13	13	1351
81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364	81	-13	13	1364
82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388	82	-222	24	1388
83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413	83	-124	25	1413
84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426	84	-13	13	1426
85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439	85	-13	13	1439
86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463	86	-123	24	1463
87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483	87	-20	20	1483
88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496	88	-13	13	1496
89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513	89	-17	17	1513
90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527	90	-14	14	1527
91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540	91	-13	13	1540
92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566	92	-125	26	1566
93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579	93	-13	13	1579
94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613	94	-232	34	1613
95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630	95	-17	17	1630
96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652	96	-121	22	1652
97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665	97	-13	13	1665
98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680	98	-15	15	1680
99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693	99	-13	13	1693
100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706	100	-13	13	1706
