Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
58	-117	18	1449	58	-117	18	1449	58	-117	18	1449	58	-117	18	1449	58	-117	18	1449	58	-117	18	1449	58	-117	18	1449	58	-117	18	1449
59	-24	24	1473	59	-24	24	1473	59	-24	24	1473	59	-24	24	1473	59	-24	24	1473	59	-24	24	1473	59	-24	24	1473	59	-24	24	1473
60	-19	19	1492	60	-19	19	1492	60	-19	19	1492	60	-19	19	1492	60	-19	19	1492	60	-19	19	1492	60	-19	19	1492	60	-19	19	1492
61	-17	17	1509	61	-17	17	1509	61	-17	17	1509	61	-17	17	1509	61	-17	17	1509	61	-17	17	1509	61	-17	17	1509	61	-17	17	1509
62	-19	19	1528	62	-19	19	1528	62	-19	19	1528	62	-19	19	1528	62	-19	19	1528	62	-19	19	1528	62	-19	19	1528	62	-19	19	1528
63	-18	18	1546	63	-18	18	1546	63	-18	18	1546	63	-18	18	1546	63	-18	18	1546	63	-18	18	1546	63	-18	18	1546	63	-18	18	1546
64	-17	17	1563	64	-17	17	1563	64	-17	17	1563	64	-17	17	1563	64	-17	17	1563	64	-17	17	1563	64	-17	17	1563	64	-17	17	1563
65	-18	18	1581	65	-18	18	1581	65	-18	18	1581	65	-18	18	1581	65	-18	18	1581	65	-18	18	1581	65	-18	18	1581	65	-18	18	1581
66	-17	17	1598	66	-17	17	1598	66	-17	17	1598	66	-17	17	1598	66	-17	17	1598	66	-17	17	1598	66	-17	17	1598	66	-17	17	1598
67	-17	17	1615	67	-17	17	1615	67	-17	17	1615	67	-17	17	1615	67	-17	17	1615	67	-17	17	1615	67	-17	17	1615	67	-17	17	1615
68	-17	17	1632	68	-17	17	1632	68	-17	17	1632	68	-17	17	1632	68	-17	17	1632	68	-17	17	1632	68	-17	17	1632	68	-17	17	1632
69	-17	17	1649	69	-17	17	1649	69	-17	17	1649	69	-17	17	1649	69	-17	17	1649	69	-17	17	1649	69	-17	17	1649	69	-17	17	1649
70	-19	19	1668	70	-19	19	1668	70	-19	19	1668	70	-19	19	1668	70	-19	19	1668	70	-19	19	1668	70	-19	19	1668	70	-19	19	1668
71	-19	19	1687	71	-19	19	1687	71	-19	19	1687	71	-19	19	1687	71	-19	19	1687	71	-19	19	1687	71	-19	19	1687	71	-19	19	1687
72	-17	17	1704	72	-17	17	1704	72	-17	17	1704	72	-17	17	1704	72	-17	17	1704	72	-17	17	1704	72	-17	17	1704	72	-17	17	1704
73	-19	19	1723	73	-19	19	1723	73	-19	19	1723	73	-19	19	1723	73	-19	19	1723	73	-19	19	1723	73	-19	19	1723	73	-19	19	1723
74	-17	17	1740	74	-17	17	1740	74	-17	17	1740	74	-17	17	1740	74	-17	17	1740	74	-17	17	1740	74	-17	17	1740	74	-17	17	1740
75	-17	17	1757	75	-17	17	1757	75	-17	17	1757	75	-17	17	1757	75	-17	17	1757	75	-17	17	1757	75	-17	17	1757	75	-17	17	1757
76	-18	18	1775	76	-18	18	1775	76	-18	18	1775	76	-18	18	1775	76	-18	18	1775	76	-18	18	1775	76	-18	18	1775	76	-18	18	1775
77	-17	17	1792	77	-17	17	1792	77	-17	17	1792	77	-17	17	1792	77	-17	17	1792	77	-17	17	1792	77	-17	17	1792	77	-17	17	1792
78	-17	17	1809	78	-17	17	1809	78	-17	17	1809	78	-17	17	1809	78	-17	17	1809	78	-17	17	1809	78	-17	17	1809	78	-17	17	1809
79	-19	19	1828	79	-19	19	1828	79	-19	19	1828	79	-19	19	1828	79	-19	19	1828	79	-19	19	1828	79	-19	19	1828	79	-19	19	1828
80	-19	19	1847	80	-19	19	1847	80	-19	19	1847	80	-19	19	1847	80	-19	19	1847	80	-19	19	1847	80	-19	19	1847	80	-19	19	1847
81	-19	19	1866	81	-19	19	1866	81	-19	19	1866	81	-19	19	1866	81	-19	19	1866	81	-19	19	1866	81	-19	19	1866	81	-19	19	1866
82	-20	20	1886	82	-20	20	1886	82	-20	20	1886	82	-20	20	1886	82	-20	20	1886	82	-20	20	1886	82	-20	20	1886	82	-20	20	1886
83	-67	67	1953	83	-67	67	1953	83	-67	67	1953	83	-67	67	1953	83	-67	67	1953	83	-67	67	1953	83	-67	67	1953	83	-67	67	1953
84	-35	35	1988	84	-35	35	1988	84	-35	35	1988	84	-35	35	1988	84	-35	35	1988	84	-35	35	1988	84	-35	35	1988	84	-35	35	1988
85	-32	32	2020	85	-32	32	2020	85	-32	32	2020	85	-32	32	2020	85	-32	32	2020	85	-32	32	2020	85	-32	32	2020	85	-32	32	2020
86	-18	18	2038	86	-18	18	2038	86	-18	18	2038	86	-18	18	2038	86	-18	18	2038	86	-18	18	2038	86	-18	18	2038	86	-18	18	2038
87	-26	26	2064	87	-26	26	2064	87	-26	26	2064	87	-26	26	2064	87	-26	26	2064	87	-26	26	2064	87	-26	26	2064	87	-26	26	2064
88	-21	21	2085	88	-21	21	2085	88	-21	21	2085	88	-21	21	2085	88	-21	21	2085	88	-21	21	2085	88	-21	21	2085	88	-21	21	2085
89	-25	25	2110	89	-25	25	2110	89	-25	25	2110	89	-25	25	2110	89	-25	25	2110	89	-25	25	2110	89	-25	25	2110	89	-25	25	2110
90	-20	20	2130	90	-20	20	2130	90	-20	20	2130	90	-20	20	2130	90	-20	20	2130	90	-20	20	2130	90	-20	20	2130	90	-20	20	2130
91	-32	32	2162	91	-32	32	2162	91	-32	32	2162	91	-32	32	2162	91	-32	32	2162	91	-32	32	2162	91	-32	32	2162	91	-32	32	2162
92	-19	19	2181	92	-19	19	2181	92	-19	19	2181	92	-19	19	2181	92	-19	19	2181	92	-19	19	2181	92	-19	19	2181	92	-19	19	2181
93	-17	17	2198	93	-17	17	2198	93	-17	17	2198	93	-17	17	2198	93	-17	17	2198	93	-17	17	2198	93	-17	17	2198	93	-17	17	2198
94	-17	17	2215	94	-17	17	2215	94	-17	17	2215	94	-17	17	2215	94	-17	17	2215	94	-17	17	2215	94	-17	17	2215	94	-17	17	2215
95	-21	21	2236	95	-21	21	2236	95	-21	21	2236	95	-21	21	2236	95	-21	21	2236	95	-21	21	2236	95	-21	21	2236	95	-21	21	2236
96	-27	27	2263	96	-27	27	2263	96	-27	27	2263	96	-27	27	2263	96	-27	27	2263	96	-27	27	2263	96	-27	27	2263	96	-27	27	2263
97	-23	23	2286	97	-23	23	2286	97	-23	23	2286	97	-23	23	2286	97	-23	23	2286	97	-23	23	2286	97	-23	23	2286	97	-23	23	2286
98	-24	24	2310	98	-24	24	2310	98	-24	24	2310	98	-24	24	2310	98	-24	24	2310	98	-24	24	2310	98	-24	24	2310	98	-24	24	2310
99	-33	33	2343	99	-33	33	2343	99	-33	33	2343	99	-33	33	2343	99	-33	33	2343	99	-33	33	2343	99	-33	33	2343	99	-33	33	2343
100	-19	19	2362	100	-19	19	2362	100	-19	19	2362	100	-19	19	2362	100	-19	19	2362	100	-19	19	2362	100	-19	19	2362	100	-19	19	2362
101	-19	19	2381	101	-19	19	2381	101	-19	19	2381	101	-19	19	2381	101	-19	19	2381	101	-19	19	2381	101	-19	19	2381	101	-19	19	2381
102	-18	18	2399	102	-18	18	2399	102	-18	18	2399	102	-18	18	2399	102	-18	18	2399	102	-18	18	2399	102	-18	18	2399	102	-18	18	2399
103	-17	17	2416	103	-17	17	2416	103	-17	17	2416	103	-17	17	2416	103	-17	17	2416	103	-17	17	2416	103	-17	17	2416	103	-17	17	2416
104	-25	25	2441	104	-25	25	2441	104	-25	25	2441	104	-25	25	2441	104	-25	25	2441	104	-25	25	2441	104	-25	25	2441	104	-25	25	2441
105	-17	17	2458	105	-17	17	2458	105	-17	17	2458	105	-17	17	2458	105	-17	17	2458	105	-17	17	2458	105	-17	17	2458	105	-17	17	2458
106	-25	25	2483	106	-25	25	2483	106	-25	25	2483	106	-25	25	2483	106	-25	25	2483	106	-25	25	2483	106	-25	25	2483	106	-25	25	2483
107	-19	19	2502	107	-19	19	2502	107	-19	19	2502	107	-19	19	2502	107	-19	19	2502	107	-19	19	2502	107	-19	19	2502	107	-19	19	2502
108	-17	17	2519	108	-17	17	2519	108	-17	17	2519	108	-17	17	2519	108	-17	17	2519	108	-17	17	2519	108	-17	17	2519	108	-17	17	2519
109	-18	18	2537	109	-18	18	2537	109	-18	18	2537	109	-18	18	2537	109	-18	18	2537	109	-18	18	2537	109	-18	18	2537	109	-18	18	2537
110	-26	26	2563	110	-26	26	2563	110	-26	26	2563	110	-26	26	2563	110	-26	26	2563	110	-26	26	2563	110	-26	26	2563	110	-26	26	2563
111	-21	21	2584	111	-21	21	2584	111	-21	21	2584	111	-21	21	2584	111	-21	21	2584	111	-21	21	2584	111	-21	21	2584	111	-21	21	2584
112	-20	20	2604	112	-20	20	2604	112	-20	20	2604	112	-20	20	2604	112	-20	20	2604	112	-20	20	2604	112	-20	20	2604	112	-20	20	2604
113	-24	24	2628	113	-24	24	2628	113	-24	24	2628	113	-24	24	2628	113	-24	24	2628	113	-24	24	2628	113	-24	24	2628	113	-24	24	2628
114	-17	17	2645	114	-17	17	2645	114	-17	17	2645	114	-17	17	2645	114	-17	17	2645	114	-17	17	2645	114	-17	17	2645	114	-17	17	2645
115	-19	19	2664	115	-19	19	2664	115	-19	19	2664	115	-19	19	2664	115	-19	19	2664	115	-19	19	2664	115	-19	19	2664	115	-19	19	2664
116	-17	17	2681	116	-17	17	2681	116	-17	17	2681	116	-17	17	2681	116	-17	17	2681	116	-17	17	2681	116	-17	17	2681	116	-17	17	2681
117	-20	20	2701	117	-20	20	2701	117	-20	20	2701	117	-20	20	2701	117	-20	20	2701	117	-20	20	2701	117	-20	20	2701	117	-20	20	2701
118	-17	17	2718	118	-17	17	2718	118	-17	17	2718	118	-17	17	2718	118	-17	17	2718	118	-17	17	2718	118	-17	17	2718	118	-17	17	2718
119	-20	20	2738	119	-20	20	2738	119	-20	20	2738	119	-20	20	2738	119	-20	20	2738	119	-20	20	2738	119	-20	20	2738	119	-20	20	2738
120	-23	23	2761	120	-23	23	2761	120	-23	23	2761	120	-23	23	2761	120	-23	23	2761	120	-23	23	2761	120	-23	23	2761	120	-23	23	2761
121	-49	49	2810	121	-49	49	2810	121	-49	49	2810	121	-49	49	2810	121	-49	49	2810	121	-49	49	2810	121	-49	49	2810	121	-49	49	2810
122	-20	20	2830	122	-20	20	2830	122	-20	20	2830	122	-20	20	2830	122	-20	20	2830	122	-20	20	2830	122	-20	20	2830	122	-20	20	2830
123	-23	23	2853	123	-23	23	2853	123	-23	23	2853	123	-23	23	2853	123	-23	23	2853	123	-23	23	2853	123	-23	23	2853	123	-23	23	2853
124	-21	21	2874	124	-21	21	2874	124	-21	21	2874	124	-21	21	2874	124	-21	21	2874	124	-21	21	2874	124	-21	21	2874	124	-21	21	2874
125	-29	29	2903	125	-29	29	2903	125	-29	29	2903	125	-29	29	2903	125	-29	29	2903	125	-29	29	2903	125	-29	29	2903	125	-29	29	2903
126	-18	18	2921	126	-18	18	2921	126	-18	18	2921	126	-18	18	2921	126	-18	18	2921	126	-18	18	2921	126	-18	18	2921	126	-18	18	2921
127	-27	27	2948	127	-27	27	2948	127	-27	27	2948	127	-27	27	2948	127	-27	27	2948	127	-27	27	2948	127	-27	27	2948	127	-27	27	2948
128	-21	21	2969	128	-21	21	2969	128	-21	21	2969	128	-21	21	2969	128	-21	21	2969	128	-21	21	2969	128	-21	21	2969	128	-21	21	2969
129	-19	19	2988	129	-19	19	2988	129	-19	19	2988	129	-19	19	2988	129	-19	19	2988	129	-19	19	2988	129	-19	19	2988	129	-19	19	2988
130	-20	20	3008	130	-20	20	3008	130	-20	20	3008	130	-20	20	3008	130	-20	20	3008	130	-20	20	3008	130	-20	20	3008	130	-20	20	3008
131	-21	21	3029	131	-21	21	3029	131	-21	21	3029	131	-21	21	3029	131	-21	21	3029	131	-21	21	3029	131	-21	21	3029	131	-21	21	3029
132	-116	116	3145	132	-116	116	3145	132	-116	116	3145	132	-116	116	3145	132	-116	116	3145	132	-116	116	3145	132	-116	116	3145	132	-116	116	3145
133	-40	40	3185	133	-40	40	3185	133	-40	40	3185	133	-40	40	3185	133	-40	40	3185	133	-40	40	3185	133	-40	40	3185	133	-40	40	3185
134	-19	19	3204	134	-19	19	3204	134	-19	19	3204	134	-19	19	3204	134	-19	19	3204	134	-19	19	3204	134	-19	19	3204	134	-19	19	3204
135	-17	17	3221	135	-17	17	3221	135	-17	17	3221	135	-17	17	3221	135	-17	17	3221	135	-17	17	3221	135	-17	17	3221	135	-17	17	3221
136	-19	19	3240	136	-19	19	3240	136	-19	19	3240	136	-19	19	3240	136	-19	19	3240	136	-19	19	3240	136	-19	19	3240	136	-19	19	3240
137	-24	24	3264	137	-24	24	3264	137	-24	24	3264	137	-24	24	3264	137	-24	24	3264	137	-24	24	3264	137	-24	24	3264	137	-24	24	3264
138	-21	21	3285	138	-21	21	3285	138	-21	21	3285	138	-21	21	3285	138	-21	21	3285	138	-21	21	3285	138	-21	21	3285	138	-21	21	3285
139	-30	30	3315	139	-30	30	3315	139	-30	30	3315	139	-30	30	3315	139	-30	30	3315	139	-30	30	3315	139	-30	30	3315	139	-30	30	3315
140	-23	23	3338	140	-23	23	3338	140	-23	23	3338	140	-23	23	3338	140	-23	23	3338	140	-23	23	3338	140	-23	23	3338	140	-23	23	3338
141	-17	17	3355	141	-17	17	3355	141	-17	17	3355	141	-17	17	3355	141	-17	17	3355	141	-17	17	3355	141	-17	17	3355	141	-17	17	3355
142	-17	17	3372	142	-17	17	3372	142	-17	17	3372	142	-17	17	3372	142	-17	17	3372	142	-17	17	3372	142	-17	17	3372	142	-17	17	3372
143	-24	24	3396	143	-24	24	3396	143	-24	24	3396	143	-24	24	3396	143	-24	24	3396	143	-24	24	3396	143	-24	24	3396	143	-24	24	3396
144	-19	19	3415	144	-19	19	3415	144	-19	19	3415	144	-19	19	3415	144	-19	19	3415	144	-19	19	3415	144	-19	19	3415	144	-19	19	3415
145	-17	17	3432	145	-17	17	3432	145	-17	17	3432	145	-17	17	3432	145	-17	17	3432	145	-17	17	3432	145	-17	17	3432	145	-17	17	3432
146	-19	19	3451	146	-19	19	3451	146	-19	19	3451	146	-19	19	3451	146	-19	19	3451	146	-19	19	3451	146	-19	19	3451	146	-19	19	3451
147	-17	17	3468	147	-17	17	3468	147	-17	17	3468	147	-17	17	3468	147	-17	17	3468	147	-17	17	3468	147	-17	17	3468	147	-17	17	3468
148	-17	17	3485	148	-17	17	3485	148	-17	17	3485	148	-17	17	3485	148	-17	17	3485	148	-17	17	3485	148	-17	17	3485	148	-17	17	3485
149	-22	22	3507	149	-22	22	3507	149	-22	22	3507	149	-22	22	3507	149	-22	22	3507	149	-22	22	3507	149	-22	22	3507	149	-22	22	3507
150	-18	18	3525	150	-18	18	3525	150	-18	18	3525	150	-18	18	3525	150	-18	18	3525	150	-18	18	3525	150	-18	18	3525	150	-18	18	3525
151	-17	17	3542	151	-17	17	3542	151	-17	17	3542	151	-17	17	3542	151	-17	17	3542	151	-17	17	3542	151	-17	17	3542	151	-17	17	3542
152	-18	18	3560	152	-18	18	3560	152	-18	18	3560	152	-18	18	3560	152	-18	18	3560	152	-18	18	3560	152	-18	18	3560	152	-18	18	3560
153	-26	26	3586	153	-26	26	3586	153	-26	26	3586	153	-26	26	3586	153	-26	26	3586	153	-26	26	3586	153	-26	26	3586	153	-26	26	3586
154	-30	30	3616	154	-30	30	3616	154	-30	30	3616	154	-30	30	3616	154	-30	30	3616	154	-30	30	3616	154	-30	30	3616	154	-30	30	3616
155	-23	23	3639	155	-23	23	3639	155	-23	23	3639	155	-23	23	3639	155	-23	23	3639	155	-23	23	3639	155	-23	23	3639	155	-23	23	3639
156	-18	18	3657	156	-18	18	3657	156	-18	18	3657	156	-18	18	3657	156	-18	18	3657	156	-18	18	3657	156	-18	18	3657	156	-18	18	3657
157	-25	25	3682	157	-25	25	3682	157	-25	25	3682	157	-25	25	3682	157	-25	25	3682	157	-25	25	3682	157	-25	25	3682	157	-25	25	3682
158	-17	17	3699	158	-17	17	3699	158	-17	17	3699	158	-17	17	3699	158	-17	17	3699	158	-17	17	3699	158	-17	17	3699	158	-17	17	3699
159	-17	17	3716	159	-17	17	3716	159	-17	17	3716	159	-17	17	3716	159	-17	17	3716	159	-17	17	3716	159	-17	17	3716	159	-17	17	3716
160	-19	19	3735	160	-19	19	3735	160	-19	19	3735	160	-19	19	3735	160	-19	19	3735	160	-19	19	3735	160	-19	19	3735	160	-19	19	3735
161	-24	24	3759	161	-24	24	3759	161	-24	24	3759	161	-24	24	3759	161	-24	24	3759	161	-24	24	3759	161	-24	24	3759	161	-24	24	3759
162	-19	19	3778	162	-19	19	3778	162	-19	19	3778	162	-19	19	3778	162	-19	19	3778	162	-19	19	3778	162	-19	19	3778	162	-19	19	3778
163	-33	33	3811	163	-33	33	3811	163	-33	33	3811	163	-33	33	3811	163	-33	33	3811	163	-33	33	3811	163	-33	33	3811	163	-33	33	3811
164	-25	25	3836	164	-25	25	3836	164	-25	25	3836	164	-25	25	3836	164	-25	25	3836	164	-25	25	3836	164	-25	25	3836	164	-25	25	3836
165	-23	23	3859	165	-23	23	3859	165	-23	23	3859	165	-23	23	3859	165	-23	23	3859	165	-23	23	3859	165	-23	23	3859	165	-23	23	3859
166	-36	36	3895	166	-36	36	3895	166	-36	36	3895	166	-36	36	3895	166	-36	36	3895	166	-36	36	3895	166	-36	36	3895	166	-36	36	3895
167	-19	19	3914	167	-19	19	3914	167	-19	19	3914	167	-19	19	3914	167	-19	19	3914	167	-19	19	3914	167	-19	19	3914	167	-19	19	3914
168	-19	19	3933	168	-19	19	3933	168	-19	19	3933	168	-19	19	3933	168	-19	19	3933	168	-19	19	3933	168	-19	19	3933	168	-19	19	3933
169	-33	33	3966	169	-33	33	3966	169	-33	33	3966	169	-33	33	3966	169	-33	33	3966	169	-33	33	3966	169	-33	33	3966	169	-33	33	3966
170	-46	46	4012	170	-46	46	4012	170	-46	46	4012	170	-46	46	4012	170	-46	46	4012	170	-46	46	4012	170	-46	46	4012	170	-46	46	4012
171	-125	125	4137	171	-125	125	4137	171	-125	125	4137	171	-125	125	4137	171	-125	125	4137	171	-125	125	4137	171	-125	125	4137	171	-125	125	4137
